;;;;;
Administration: 970 - NOUVELLE POLYCLINIQUE DU BORINAGE;;;;;
Date: 22 mars 2013 par Michel Ponchon;;;;;
 Bilan / Compte de résultat   ;;;;;
;;;;;
    ;;;;;
Options visuelles;;;;;
Bilan: Type;Bilan / Compte de résultats;Afficher;Les deux;Niveau;Compte
Exercice;2013;Période;2 - 2;Non traité;v
Comparer avec;;;;;
;;;;;
;2013;;;;
;Nouveau solde (Débit);Nouveau solde (Crédit);;;
Bilan;;;;;
100000 - Fonds associatif;;21.510,71;;;
140000 - Résultat reporté;;33.697,04;;;
140012 - Résultat reporté 2012;;4.286,51
140200 - BENEFICE REPORTE 2011;;6.163,67
165490 - Prov. pour autres risques et charges;;25.000,00
172120 - dette leasing Xerox;;9.681,71
174000 - Aut.emp-Num Dexia 78000;;55.955,85
174100 - Emprunt ing 15.000 - aménagement parking;;3.844,50
179910 - Avance permanente LT Immobilière du 10 de grisoeul;;30.067,78
211000 - Brevet Licence;4.427,67;
211009 - Amort Brevet Licence;;4.427,67
221210 - Frais aménagement de parking;8.269,86;
221219 - Amortissement parking;;2.737,52
230011 - Installation technique;4.721,74;
230019 - Amort Installation Technique;;4.721,74
230200 - Informatisation Dossier;6.534,00;
230209 - Amort Informatisation Dossiers;;4.356,00
231000 - Machines;29.205,74;
231009 - Amort. et réd. val. sur machines;;29.205,74
231010 - Machine et Gros Matériel;671,55;
231019 - Amort Mach et Gros Matériel;;223,85
231030 - Sonde Radiographie;4.325,00;
231039 - Amort Sonde Radio;;4.325,00
231110 - Matériel Optique;14.339,98;
231119 - Amort Materiel Optique;;13.986,39
231200 - Mat Radio Tube;137.442,10;
231209 - Amort Mat radio Tube;;129.530,09
231210 - Mat Optique Fibroscope;5.786,95;
231219 - Amlort Fibroscope Machida;;5.786,95
231220 - Fauteuil ORL;15.487,96;
231229 - Amort Fauteuil ORL;;9.427,13
231230 - Mat Dentisterie;58.182,87;
231239 - Amort Mat Dentisterie;;48.192,87
231240 - MATERIEL DE CARDIOLOGIE;7.894,80;
231249 - materiel DE cardio;;7.894,80
231250 - Matériel gynécologie;9.210,00;
231259 - amorissement mat gyneco;;3.600,00
232010 - Matériel Informatique;19.425,51;
232019 - Amort Matériel Informatique;;17.605,48
232020 - Imprimante Xerox;18.400,00;
232029 - Amortissement Xerox;;7.360,00
232100 - Matériel de classement Armoire;3.753,07;
232109 - Amort Mat classement;;3.158,80
233000 - Matériel Optique;1.729,21;
233009 - Amort Matériel Optique;;1.729,21
234000 - Matériel Dermato;556,60;
234009 - Amort Mat dermato;;556,60
235010 - Echo doppler + 2 sondes -Radio;48.280,00;
235019 - Amort Mat Echo + 2 sondes Radio;;48.280,00
236010 - Matériel de Kiné;3.037,00;
236019 - Amort Mat kiné;;3.037,00
236020 - Matériel Gastro entero;23.203,25;
237000 - MATERIEL PNEUMOLOGIE CABINE ++;24.777,00;
237009 - AMORT CAB PNEUMO;;14.866,20
237110 - MATERIEL DE NETTOYAGE;740,00;
237119 - AMORT MAT DE NETTOYAGE;;740,00
